"con","cg1","cg2","p","intrinsic_lch1","intrinsic_lch2"
"UMNSRS_similarity","msh-umls","sct-msh-csp-aod",0.0395910298518768,0.27545331087427,0.384573297269723
"UMNSRS_similarity","msh-umls","sct-umls",0.0939325691352393,0.27545331087427,0.36495393683216
"UMNSRS_similarity","msh-umls","umls",0.000318113104061724,0.27545331087427,0.460012874863192
"UMNSRS_similarity","sct-msh-csp-aod","sct-umls",0.701732971067627,0.384573297269723,0.36495393683216
"UMNSRS_similarity","sct-msh-csp-aod","umls",0.123050656850327,0.384573297269723,0.460012874863192
"UMNSRS_similarity","sct-umls","umls",0.0542197780870465,0.36495393683216,0.460012874863192
"UMNSRS_relatedness","msh-umls","sct-msh-csp-aod",0.116865506821780,0.246763891027119,0.330801616543601
"UMNSRS_relatedness","msh-umls","sct-umls",0.334338069557386,0.246763891027119,0.299035853140697
"UMNSRS_relatedness","msh-umls","umls",0.00784868377846418,0.246763891027119,0.386383204553133
"UMNSRS_relatedness","sct-msh-csp-aod","sct-umls",0.546738814883533,0.330801616543601,0.299035853140697
"UMNSRS_relatedness","sct-msh-csp-aod","umls",0.275517683418043,0.330801616543601,0.386383204553133
"UMNSRS_relatedness","sct-umls","umls",0.0904368260400261,0.299035853140697,0.386383204553133
"MayoSRS","msh-umls","sct-msh-csp-aod",0.202320376101885,0.231734080057135,0.395378811792960
"MayoSRS","msh-umls","sct-umls",0.621548307515855,0.231734080057135,0.297289453118182
"MayoSRS","msh-umls","umls",0.0975711819011684,0.231734080057135,0.440377422192653
"MayoSRS","sct-msh-csp-aod","sct-umls",0.434619390980719,0.395378811792960,0.297289453118182
"MayoSRS","sct-msh-csp-aod","umls",0.70262770068478,0.395378811792960,0.440377422192653
"MayoSRS","sct-umls","umls",0.244794158104949,0.297289453118182,0.440377422192653
"MiniMayoSRS_Physicians","msh","msh-umls",0.835057802645089,0.392190886531173,0.439923679532053
"MiniMayoSRS_Physicians","msh","msh-umls",0.835057802645089,0.392190886531173,0.410160622515369
"MiniMayoSRS_Physicians","msh","sct",0.678152929935733,0.392190886531173,0.484985531686873
"MiniMayoSRS_Physicians","msh","sct-msh-csp-aod",0.307157386315195,0.392190886531173,0.602853532421918
"MiniMayoSRS_Physicians","msh","sct-umls",0.824217854982654,0.392190886531173,0.338839220796711
"MiniMayoSRS_Physicians","msh","umls",0.145243895921576,0.392190886531173,0.674174934140575
"MiniMayoSRS_Physicians","msh-umls","sct",0.735542505874653,0.439923679532053,0.484985531686873
"MiniMayoSRS_Physicians","msh-umls","sct",0.735542505874653,0.410160622515369,0.484985531686873
"MiniMayoSRS_Physicians","msh-umls","sct-msh-csp-aod",0.345178853048868,0.439923679532053,0.602853532421918
