42399005	42399005
70317007	17369002
80891009	74281007
230690007	55641003
48500005	58214004
125369001	415582006
128462008	443961001
42343007	19242006
51615001	126713003
79619009	49436004
373421000	51197009
254935002	1386000
59282003	22298006
255631004	106190000
57406009	396275006
69896004	200936003
11381005	61968008
73211009	38341003
32498003	179344006
70179006	73761001
128863005	126692004
12856003	244568009
13200003	57190000
24700007	69322001
35489007	128045006
39772007	15825003
55822004	363346000
74400008	64859006
87715008	420054005
